"Term";"Annotated";"Significant.hy";"Significant.t";"Significant";"GO_ID";"num_N";"num_m";"num_n";"num_k";"num_x";"pval";"pval.bonf";"pval.BH";"rif.bonf.our";"rif.bonf.t";"rif.bonf.sam";"PVAL";"group"
"cell cycle checkpoint signaling";167;32;47;94;"GO:0000075";18479341;317619;18161722;21548;2064;0;0;0;1;0;0;"<1.11E-16";"hy-test"
"cell cycle G2/M phase transition";142;28;39;86;"GO:0044839";18479341;317619;18161722;947;75;4,94996104832386e-27;1,57408761336699e-24;1,69256732620106e-26;1;0;0;"<1.11E-16";"hy-test"
"chromosome organization";776;112;159;393;"GO:0051276";18479341;317619;18161722;66428;1329;2,51933469923875e-08;8,01148434357923e-06;7,70335033036465e-08;1;0;0;"8.01E-06";"hy-test"
"DNA replication";254;43;65;148;"GO:0006260";18479341;317619;18161722;72040;1569;3,80635933214122e-20;1,21042226762091e-17;1,2478580078566e-19;1;0;0;"<1.11E-16";"hy-test"
"growth";881;105;224;430;"GO:0040007";18479341;317619;18161722;1766019;65318;0;0;0;1;0;0;"<1.11E-16";"hy-test"
"mitotic cell cycle checkpoint signaling";127;26;37;75;"GO:0007093";18479341;317619;18161722;2232;162;2,60378614155955e-51;8,28003993015937e-49;1,02222715187153e-50;1;0;0;"<1.11E-16";"hy-test"
"mitotic spindle checkpoint signaling";38;14;16;26;"GO:0071174";18479341;317619;18161722;1715;132;7,08648965491314e-45;2,25350371026238e-42;2,62035315146788e-44;1;0;0;"<1.11E-16";"hy-test"
"negative regulation of cell cycle";348;58;91;187;"GO:0045786";18479341;317619;18161722;7328;1352;0;0;0;1;0;0;"<1.11E-16";"hy-test"
"negative regulation of cell cycle phase transition";223;42;58;129;"GO:1901988";18479341;317619;18161722;237;46;7,57597280263715e-34;2,40915935123861e-31;2,67684372359846e-33;1;0;0;"<1.11E-16";"hy-test"
"negative regulation of cell cycle process";263;50;71;151;"GO:0010948";18479341;317619;18161722;1559;392;3,0928509429662e-321;9,83526599863253e-319;1,89128329228029e-320;1;0;0;"<1.11E-16";"hy-test"
"negative regulation of chromosome segregation";42;15;17;30;"GO:0051985";18479341;317619;18161722;101;9;6,58744527957374e-05;0,0209480759890445;0,000180586861974521;1;0;0;"2.09E-02";"hy-test"
"negative regulation of mitotic cell cycle";211;40;56;125;"GO:0045930";18479341;317619;18161722;359;59;1,18302768482945e-38;3,76202803775766e-36;4,27503186108825e-38;1;0;0;"<1.11E-16";"hy-test"
"positive regulation of cell cycle";286;46;77;160;"GO:0045787";18479341;317619;18161722;7124;1087;0;0;0;1;0;0;"<1.11E-16";"hy-test"
"positive regulation of cell cycle process";212;39;57;119;"GO:0090068";18479341;317619;18161722;1694;261;1,4900590013263e-157;4,73838762421763e-155;7,28982711418097e-157;1;0;0;"<1.11E-16";"hy-test"
"protein phosphorylation";1479;160;354;737;"GO:0006468";18479341;317619;18161722;238464;9100;0;0;0;1;0;0;"<1.11E-16";"hy-test"
"regulation of chromosome organization";179;33;36;100;"GO:0033044";18479341;317619;18161722;20431;550;2,48304967742181e-23;7,89609797420135e-21;8,31168207810669e-23;1;0;0;"<1.11E-16";"hy-test"
"regulation of mitotic nuclear division";108;27;36;65;"GO:0007088";18479341;317619;18161722;3913;160;1,96833669234443e-22;6,25931068165528e-20;6,52011529339091e-22;1;0;0;"<1.11E-16";"hy-test"
"regulation of nuclear division";133;29;44;77;"GO:0051783";18479341;317619;18161722;25256;1102;1,78570392207925e-162;5,67853847221202e-160;8,87271636283128e-162;1;0;0;"<1.11E-16";"hy-test"
"spindle assembly checkpoint signaling";38;14;16;26;"GO:0071173";18479341;317619;18161722;1623;133;3,43458754062039e-48;1,09219883791728e-45;1,33194980233815e-47;1;0;0;"<1.11E-16";"hy-test"
"biological adhesion";1407;133;409;700;"GO:0022610";18479341;317619;18161722;59294;2414;1,60462700879683e-309;5,10271388797392e-307;9,62776205278098e-309;0;1;0;"<1.11E-16";"mod t-test"
"biological regulation";10967;868;2280;4903;"GO:0065007";18479341;317619;18161722;434908;15145;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"cell adhesion";1400;132;405;696;"GO:0007155";18479341;317619;18161722;159545;6316;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"cell development";1983;185;485;933;"GO:0048468";18479341;317619;18161722;860637;24371;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"cell differentiation";3827;331;910;1724;"GO:0030154";18479341;317619;18161722;370732;7437;2,28815751114944e-40;7,27634088545523e-38;8,36361021316693e-40;0;1;0;"<1.11E-16";"mod t-test"
"cell surface receptor signaling pathway";2485;231;643;1195;"GO:0007166";18479341;317619;18161722;176205;6957;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"cell surface receptor signaling pathway involved in cell-cell signaling";519;55;144;268;"GO:1905114";18479341;317619;18161722;386;20;1,70168831232658e-05;0,00541136883319853;4,74681476596362e-05;0;1;0;"5.41E-03";"mod t-test"
"cell-cell adhesion";831;79;237;398;"GO:0098609";18479341;317619;18161722;9780;549;1,59375468293486e-122;5,06813989173285e-120;7,24019984533265e-122;0;1;0;"<1.11E-16";"mod t-test"
"cell-cell signaling";1545;153;436;727;"GO:0007267";18479341;317619;18161722;8510;351;8,21737253712376e-48;2,61312446680536e-45;3,14834273109079e-47;0;1;0;"<1.11E-16";"mod t-test"
"cellular hormone metabolic process";128;15;53;66;"GO:0034754";18479341;317619;18161722;195137;10169;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"cellular response to nitrogen compound";651;69;177;333;"GO:1901699";18479341;317619;18161722;269;16;2,20967846583489e-05;0,00702677752135494;6,11024132291734e-05;0;1;0;"7.03E-03";"mod t-test"
"epithelial cell differentiation";590;62;161;280;"GO:0030855";18479341;317619;18161722;68219;2458;5,97735698999027e-241;1,90079952281691e-238;3,22169410646933e-240;0;1;0;"<1.11E-16";"mod t-test"
"epithelium development";1035;101;264;480;"GO:0060429";18479341;317619;18161722;41575;932;2,2852957872941e-15;7,26724060359525e-13;7,19528772633193e-15;0;1;0;"7.27E-13";"mod t-test"
"G protein-coupled receptor signaling pathway";892;61;237;330;"GO:0007186";18479341;317619;18161722;54456;1265;3,24791298314092e-25;1,03283632863881e-22;1,09876205174342e-24;0;1;0;"<1.11E-16";"mod t-test"
"hormone metabolic process";207;24;72;97;"GO:0042445";18479341;317619;18161722;416164;16796;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"lung development";172;22;59;92;"GO:0030324";18479341;317619;18161722;76318;4641;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"multicellular organismal process";6713;576;1599;2947;"GO:0032501";18479341;317619;18161722;5189;164;4,89672597558639e-13;1,55715886023647e-10;1,52662633356517e-12;0;1;0;"1.56E-10";"mod t-test"
"negative regulation of angiogenesis";98;18;40;50;"GO:0016525";18479341;317619;18161722;1648;316;3,00549407338663e-220;9,55747115336949e-218;1,59291185889491e-219;0;1;0;"<1.11E-16";"mod t-test"
"negative regulation of cell population proliferation";683;77;185;323;"GO:0008285";18479341;317619;18161722;407;94;9,35382333796939e-75;2,97451582147426e-72;3,91383660720298e-74;0;1;0;"<1.11E-16";"mod t-test"
"negative regulation of cellular process";4510;406;985;2123;"GO:0048523";18479341;317619;18161722;34737;4095;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"negative regulation of vasculature development";100;19;41;51;"GO:1901343";18479341;317619;18161722;234;17;8,56930086370991e-07;0,000272503767465975;2,52318303209236e-06;0;1;0;"2.73E-04";"mod t-test"
"positive regulation of cell differentiation";802;86;221;390;"GO:0045597";18479341;317619;18161722;11882;405;3,87444978232099e-36;1,23207503077807e-33;1,38435396716638e-35;0;1;0;"<1.11E-16";"mod t-test"
"positive regulation of cell population proliferation";880;95;252;431;"GO:0008284";18479341;317619;18161722;771;72;2,20892131123031e-30;7,02436976971238e-28;7,63518453229607e-30;0;1;0;"<1.11E-16";"mod t-test"
"positive regulation of epithelial cell proliferation";184;24;62;98;"GO:0050679";18479341;317619;18161722;3229;417;5,63891467053516e-220;1,79317486523018e-217;2,93963092660685e-219;0;1;0;"<1.11E-16";"mod t-test"
"positive regulation of phosphate metabolic process";855;96;228;418;"GO:0045937";18479341;317619;18161722;1272;49;3,04536798191154e-07;9,68427018247871e-05;9,05071979670907e-07;0;1;0;"9.68E-05";"mod t-test"
"positive regulation of phosphorylation";780;90;209;387;"GO:0042327";18479341;317619;18161722;5882;628;1,07905807277268e-282;3,43140467141712e-280;6,23891758439477e-282;0;1;0;"<1.11E-16";"mod t-test"
"positive regulation of protein phosphorylation";701;83;186;348;"GO:0001934";18479341;317619;18161722;5780;620;3,02712283997443e-280;9,62625063111867e-278;1,68881590019626e-279;0;1;0;"<1.11E-16";"mod t-test"
"regulation of angiogenesis";271;39;91;145;"GO:0045765";18479341;317619;18161722;24278;1934;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"regulation of cell communication";3092;275;718;1459;"GO:0010646";18479341;317619;18161722;16662;505;3,01921624257774e-32;9,60110765139722e-30;1,05506677487882e-31;0;1;0;"<1.11E-16";"mod t-test"
"regulation of cell differentiation";1428;148;377;679;"GO:0045595";18479341;317619;18161722;117176;2729;3,80316207347541e-53;1,20940553936518e-50;1,51175692420648e-52;0;1;0;"<1.11E-16";"mod t-test"
"regulation of cell population proliferation";1570;166;425;753;"GO:0042127";18479341;317619;18161722;4713;410;1,81592922781113e-153;5,77465494443941e-151;8,74947718854456e-153;0;1;0;"<1.11E-16";"mod t-test"
"regulation of cellular process";9886;802;2067;4439;"GO:0050794";18479341;317619;18161722;457111;22002;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"regulation of epithelial cell proliferation";326;48;98;157;"GO:0050678";18479341;317619;18161722;37480;3357;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"regulation of hormone levels";480;49;139;214;"GO:0010817";18479341;317619;18161722;46559;2029;4,89322934498805e-297;1,5560469317062e-294;2,88156839204852e-296;0;1;0;"<1.11E-16";"mod t-test"
"regulation of localization";2583;252;647;1238;"GO:0032879";18479341;317619;18161722;38387;1187;6,8916434454761e-78;2,1915426156614e-75;2,92205682088187e-77;0;1;0;"<1.11E-16";"mod t-test"
"regulation of membrane potential";410;45;128;195;"GO:0042391";18479341;317619;18161722;33426;1276;1,39775512573502e-143;4,44486129983737e-141;6,63412134304084e-143;0;1;0;"<1.11E-16";"mod t-test"
"regulation of signal transduction";2734;234;619;1290;"GO:0009966";18479341;317619;18161722;213277;8862;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"regulation of signaling";3107;276;719;1469;"GO:0023051";18479341;317619;18161722;313772;13220;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"regulation of vasculature development";275;40;93;147;"GO:1901342";18479341;317619;18161722;4615;130;8,54827652397527e-08;2,71835193462414e-05;2,56448295719258e-07;0;1;0;"2.72E-05";"mod t-test"
"response to chemical";3901;343;923;1766;"GO:0042221";18479341;317619;18161722;109394;2529;3,3072662297737e-47;1,05171066106804e-44;1,23730666008004e-46;0;1;0;"<1.11E-16";"mod t-test"
"response to growth factor";665;82;185;324;"GO:0070848";18479341;317619;18161722;254095;7907;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"response to hormone";831;91;218;410;"GO:0009725";18479341;317619;18161722;152195;6565;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"response to ketone";188;25;65;106;"GO:1901654";18479341;317619;18161722;9418;286;3,69459231420531e-19;1,17488035591729e-16;1,19885750603805e-18;0;1;0;"1.17E-16";"mod t-test"
"signal transduction";5175;458;1210;2366;"GO:0007165";18479341;317619;18161722;565680;18630;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
