"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000123500";3001;26,4901339440534;1;0
"ENSG00000099953";7681;24,1611386518872;1;0
"ENSG00000180914";8756;-18,7505257279335;0,999982296969602;1,7703030398275e-05
"ENSG00000090889";6672;18,5360509642261;1;0
"ENSG00000117650";8253;18,5303746455162;1;0
"ENSG00000154736";236;-18,3934580628405;0,999999628094773;3,71905227392055e-07
"ENSG00000119771";6733;-18,2994057059899;0,999999865418596;1,34581404132028e-07
"ENSG00000104415";13755;17,9011490400329;1;0
"ENSG00000127564";9289;17,8593102506922;1;0
"ENSG00000122641";6201;17,629832747453;1;0
"ENSG00000165197";4823;-17,6078176759517;0,999999999919536;8,04635247320107e-11
"ENSG00000112984";6657;16,7940576604131;1;0
"ENSG00000143228";8593;16,7763647782215;1;0
"ENSG00000198947";3708;-16,6269004214221;0,999999999999997;2,99760216648792e-15
"ENSG00000025423";5949;16,6196194556261;1;0
"ENSG00000166803";6533;16,5775182812606;1;0
"ENSG00000060718";3002;16,464860935571;1;0
"ENSG00000123485";5779;16,3727737625519;1;0
"ENSG00000182253";12183;-16,2783108893816;1;0
"ENSG00000196549";7678;-16,2409347005607;1;0
"ENSG00000130176";2951;-16,2088645785173;1;0
"ENSG00000168497";10976;-16,1742350979637;1;0
"ENSG00000152253";11837;16,1604685552602;1;0
"ENSG00000165474";5211;16,1575855061492;1;0
"ENSG00000175063";13322;16,078739998857;1;0
"ENSG00000105011";880;16,0402814469762;1;0
"ENSG00000109674";8249;16,030056870929;1;0
"ENSG00000169258";5457;16,0255348808532;1;0
"ENSG00000088325";12977;16,0085563667179;1;0
"ENSG00000138180";2679;15,9165440663281;1;0
"ENSG00000163431";7000;-15,8950067999864;1;0
"ENSG00000126787";3698;15,8797552127583;1;0
"ENSG00000169679";1341;15,871253553942;1;0
"ENSG00000169607";2830;15,8689253959732;1;0
"ENSG00000165304";7524;15,8673702553224;1;0
"ENSG00000276043";13414;15,8436305000326;1;0
"ENSG00000077152";13348;15,7733232652166;1;0
"ENSG00000166851";9386;15,7590346614935;1;0
"ENSG00000142945";6668;15,7180369266836;1;0
