"";"x"
"ENSG00000004866";1
"ENSG00000011454";0,07
"ENSG00000086205";0
"ENSG00000104064";1
"ENSG00000111850";0,11
"ENSG00000127603";0,04
"ENSG00000129965";0
"ENSG00000130035";0
"ENSG00000137871";0
"ENSG00000138641";0
"ENSG00000143226";0
"ENSG00000157326";1
"ENSG00000163945";1
"ENSG00000169621";0,39
"ENSG00000213077";1
"ENSG00000223802";1
"ENSG00000225830";1
"ENSG00000178605";1
"ENSG00000172771";1
"ENSG00000121410";0
"ENSG00000134864";0,28
"ENSG00000166535";1
"ENSG00000175899";0
"ENSG00000128274";1
"ENSG00000094914";1
"ENSG00000081760";1
"ENSG00000109576";1
"ENSG00000103591";0
"ENSG00000115977";1
"ENSG00000127837";1
"ENSG00000266967";1
"ENSG00000090861";1
"ENSG00000149313";1
"ENSG00000157426";1
"ENSG00000008311";0
"ENSG00000275700";0
"ENSG00000181409";1
"ENSG00000183044";1
"ENSG00000154263";0
"ENSG00000144452";0
"ENSG00000165029";0
"ENSG00000107331";1
"ENSG00000167972";0,2
"ENSG00000198691";1
"ENSG00000154265";0
"ENSG00000154262";0
"ENSG00000064687";1
"ENSG00000141338";0
"ENSG00000154258";0
"ENSG00000135776";0
"ENSG00000085563";0
"ENSG00000005471";0
"ENSG00000004846";0
"ENSG00000115657";1
"ENSG00000131269";1
"ENSG00000197150";0
"ENSG00000150967";0
"ENSG00000124574";0,23
"ENSG00000121270";1
"ENSG00000103222";1
"ENSG00000023839";1
"ENSG00000108846";1
"ENSG00000125257";1
"ENSG00000114770";0,06
"ENSG00000273808";1
"ENSG00000091262";0
"ENSG00000006071";1
"ENSG00000069431";0
"ENSG00000101986";0,07
"ENSG00000173208";0
"ENSG00000117528";0,2
"ENSG00000119688";0
"ENSG00000164163";1
"ENSG00000204574";0
"ENSG00000033050";0
"ENSG00000161204";0
"ENSG00000160179";0
"ENSG00000118777";0
"ENSG00000172350";0,04
"ENSG00000144827";1
"ENSG00000106077";0
"ENSG00000100997";0
"ENSG00000139826";1
"ENSG00000248487";1
"ENSG00000114779";0
"ENSG00000168792";1
"ENSG00000143994";1
"ENSG00000140526";1
"ENSG00000158201";0
"ENSG00000100439";1
"ENSG00000011198";0
"ENSG00000163686";0
"ENSG00000127220";0,32
"ENSG00000136754";1
"ENSG00000138443";0
"ENSG00000154175";0
"ENSG00000108798";1
"ENSG00000097007";0
"ENSG00000143322";0
"ENSG00000099204";0
"ENSG00000163995";1
"ENSG00000173210";0
"ENSG00000175164";0,7
"ENSG00000002726";0
"ENSG00000159842";0
"ENSG00000146109";1
"ENSG00000114626";0
"ENSG00000166016";1
"ENSG00000060971";1
"ENSG00000167315";0
"ENSG00000278540";1
"ENSG00000076555";0
"ENSG00000111271";1
"ENSG00000240303";0
"ENSG00000151498";0,03
"ENSG00000177646";1
"ENSG00000115361";0
"ENSG00000117054";0,13
"ENSG00000196177";1
"ENSG00000122971";0
"ENSG00000072778";0
"ENSG00000157766";0
"ENSG00000072818";1
"ENSG00000114331";1
"ENSG00000131584";1
"ENSG00000075239";0,02
"ENSG00000120437";0
"ENSG00000182827";0
"ENSG00000181513";0
"ENSG00000107897";0
"ENSG00000230124";0
"ENSG00000176244";1
"ENSG00000110881";1
"ENSG00000213199";0
"ENSG00000110455";0
"ENSG00000102977";1
"ENSG00000130234";0
"ENSG00000177076";1
"ENSG00000078124";1
"ENSG00000159640";1
"ENSG00000087085";1
"ENSG00000100813";1
"ENSG00000131473";0
"ENSG00000196636";1
"ENSG00000122729";0
"ENSG00000100412";1
"ENSG00000162390";0,42
"ENSG00000112304";0
"ENSG00000184227";1
"ENSG00000119673";1
"ENSG00000177465";0
"ENSG00000097021";0
"ENSG00000101473";0
"ENSG00000123130";1
"ENSG00000161533";1
"ENSG00000168306";1
"ENSG00000087008";1
"ENSG00000143727";0
"ENSG00000134575";0
"ENSG00000102575";0,42
"ENSG00000162836";1
"ENSG00000155893";0,07
"ENSG00000014257";1
"ENSG00000111644";0
"ENSG00000147174";0,36
"ENSG00000100312";0,39
"ENSG00000103740";0
"ENSG00000167107";1
"ENSG00000176715";1
"ENSG00000151726";0
"ENSG00000123983";1
"ENSG00000068366";0
"ENSG00000197142";0
"ENSG00000164398";0
"ENSG00000166743";1
"ENSG00000005187";0
"ENSG00000183549";0
"ENSG00000154930";1
"ENSG00000131069";0
"ENSG00000111058";0
"ENSG00000143632";1
"ENSG00000107796";0
"ENSG00000075624";1
"ENSG00000184009";1
"ENSG00000163017";0
"ENSG00000136518";0
"ENSG00000072110";0
"ENSG00000077522";0,2
"ENSG00000130402";1
"ENSG00000131966";1
"ENSG00000138107";1
"ENSG00000115073";0,06
"ENSG00000138071";0
"ENSG00000133627";1
"ENSG00000106526";0,56
"ENSG00000115091";0
"ENSG00000101442";0
"ENSG00000075089";1
"ENSG00000113812";1
"ENSG00000135503";1
"ENSG00000123612";0
"ENSG00000115170";1
"ENSG00000121989";0
"ENSG00000114739";1
"ENSG00000139567";0
"ENSG00000243989";1
"ENSG00000132744";1
"ENSG00000119640";0
"ENSG00000170634";1
"ENSG00000168803";1
"ENSG00000137845";1
"ENSG00000073670";1
"ENSG00000148848";0
"ENSG00000143537";0
"ENSG00000151694";1
"ENSG00000135074";0
"ENSG00000139985";0
"ENSG00000008277";1
"ENSG00000114948";1
"ENSG00000042980";1
"ENSG00000197140";1
"ENSG00000149451";0
"ENSG00000151651";0
"ENSG00000168615";1
"ENSG00000134028";0
"ENSG00000142303";1
"ENSG00000151388";0
"ENSG00000160323";1
"ENSG00000145536";1
"ENSG00000140470";1
"ENSG00000140873";0
"ENSG00000154734";0
"ENSG00000087116";1
"ENSG00000156140";0
"ENSG00000158859";0
"ENSG00000154736";0
"ENSG00000049192";0
"ENSG00000136378";0
"ENSG00000134917";0
"ENSG00000163638";0
"ENSG00000178031";1
"ENSG00000197859";0
"ENSG00000156218";1
"ENSG00000143382";0
"ENSG00000185761";1
"ENSG00000105963";0
"ENSG00000184060";0,06
"ENSG00000197381";0
"ENSG00000160710";0
"ENSG00000065457";1
"ENSG00000189007";0
"ENSG00000213638";0
"ENSG00000196839";0
"ENSG00000063761";1
"ENSG00000133597";0
"ENSG00000123815";0
"ENSG00000173137";0
"ENSG00000143199";1
"ENSG00000164742";1
"ENSG00000078295";1
"ENSG00000138031";0
"ENSG00000129467";0
"ENSG00000173175";0
"ENSG00000174233";0
"ENSG00000121281";1
"ENSG00000162104";1
"ENSG00000078549";0
"ENSG00000141433";1
"ENSG00000142920";0
"ENSG00000087274";0
"ENSG00000075340";1
"ENSG00000148700";0
"ENSG00000196616";0
