"Term";"Annotated";"Significant.hy";"Significant.t";"Significant";"GO_ID";"num_N";"num_m";"num_n";"num_k";"num_x";"pval";"pval.bonf";"pval.BH";"rif.bonf.our";"rif.bonf.t";"rif.bonf.sam";"PVAL";"group"
"negative regulation of cellular process";4519;825;1194;2297;"GO:0048523";18479342;79375;18399967;34737;284;4,82599263180212e-23;2,37921436747845e-20;3,60487025375522e-22;1;0;0;"<1.11E-16";"hy-test"
"phosphorylation";1739;349;478;915;"GO:0016310";18479342;79375;18399967;253927;1484;2,38234656096388e-30;1,17449685455519e-27;1,95749475759199e-29;1;0;0;"<1.11E-16";"hy-test"
"protein phosphorylation";1480;300;422;774;"GO:0006468";18479342;79375;18399967;238464;1417;6,84198988455425e-32;3,37310101308525e-29;5,91772107558815e-31;1;0;0;"<1.11E-16";"hy-test"
"regulation of GTPase activity";328;87;113;194;"GO:0043087";18479342;79375;18399967;9203;78;3,94274538333821e-08;1,94377347398574e-05;2,04607734103762e-07;1;0;0;"1.94E-05";"hy-test"
"small GTPase mediated signal transduction";489;123;145;279;"GO:0007264";18479342;79375;18399967;5597;45;8,26612291795939e-05;0,0407519859855398;0,000360637044119821;1;0;0;"4.08E-02";"hy-test"
"amide transport";289;59;105;151;"GO:0042886";18479342;79375;18399967;11259;97;4,45904131085657e-10;2,19830736625229e-07;2,49807655255942e-09;0;1;0;"2.20E-07";"mod t-test"
"angiogenesis";493;104;179;265;"GO:0001525";18479342;79375;18399967;112126;2613;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"anion transport";488;94;170;238;"GO:0006820";18479342;79375;18399967;35593;269;1,10773877944338e-17;5,46115218265587e-15;7,58493358702205e-17;0;1;0;"5.46E-15";"mod t-test"
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II";33;13;22;23;"GO:0002504";18479342;79375;18399967;12671;161;7,92065147792661e-32;3,90488117861782e-29;6,73255375623762e-31;0;1;0;"<1.11E-16";"mod t-test"
"cell development";1987;335;591;982;"GO:0048468";18479342;79375;18399967;860637;7215;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"cell differentiation";3844;679;1159;1931;"GO:0030154";18479342;79375;18399967;370732;2495;9,91512065697098e-100;4,88815448388669e-97;1,39661556682477e-98;0;1;0;"<1.11E-16";"mod t-test"
"cell motility";1543;307;525;825;"GO:0048870";18479342;79375;18399967;178926;1609;1,41213883438657e-156;6,96184445352577e-154;2,32061481784192e-155;0;1;0;"<1.11E-16";"mod t-test"
"cell-cell signaling";1548;279;527;797;"GO:0007267";18479342;79375;18399967;8510;81;1,43290826633396e-10;7,06423775302641e-08;8,21422994537954e-10;0;1;0;"7.06E-08";"mod t-test"
"enzyme linked receptor protein signaling pathway";900;178;276;454;"GO:0007167";18479342;79375;18399967;9003;68;1,19607519547458e-05;0,00589665071368969;5,4598617719349e-05;0;1;0;"5.90E-03";"mod t-test"
"epithelial cell proliferation";382;81;136;211;"GO:0050673";18479342;79375;18399967;105854;1509;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"epithelium development";1041;171;325;540;"GO:0060429";18479342;79375;18399967;41575;307;1,35411775305102e-18;6,67580052254153e-16;9,53685788934504e-18;0;1;0;"6.68E-16";"mod t-test"
"G protein-coupled receptor signaling pathway";910;160;301;389;"GO:0007186";18479342;79375;18399967;54456;294;8,11110416733928e-05;0,0399877435449826;0,000357033424508774;0;1;0;"4.00E-02";"mod t-test"
"gland development";422;83;145;226;"GO:0048732";18479342;79375;18399967;25177;273;1,24763675722886e-40;6,15084921313827e-38;1,20604886532123e-39;0;1;0;"<1.11E-16";"mod t-test"
"interleukin-2 production";60;23;32;43;"GO:0032623";18479342;79375;18399967;6526;61;4,41351075844026e-08;2,17586080391105e-05;2,24315546794953e-07;0;1;0;"2.18E-05";"mod t-test"
"kidney development";283;62;115;167;"GO:0001822";18479342;79375;18399967;60947;9652;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"kidney epithelium development";133;32;61;81;"GO:0072073";18479342;79375;18399967;2143;303;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"kidney morphogenesis";91;25;43;56;"GO:0060993";18479342;79375;18399967;5957;517;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"localization of cell";1543;307;525;825;"GO:0051674";18479342;79375;18399967;119757;969;2,61539474812161e-72;1,28938961082395e-69;3,06997526386656e-71;0;1;0;"<1.11E-16";"mod t-test"
"locomotion";1703;328;565;892;"GO:0040011";18479342;79375;18399967;223311;1359;9,10137763131428e-35;4,48697917223794e-32;8,01246280756775e-34;0;1;0;"<1.11E-16";"mod t-test"
"MAPK cascade";728;156;240;406;"GO:0000165";18479342;79375;18399967;38536;231;8,18578903434898e-07;0,000403559399393405;3,99563761775648e-06;0;1;0;"4.04E-04";"mod t-test"
"mesonephros development";95;23;44;58;"GO:0001823";18479342;79375;18399967;512;17;1,90253010382984e-10;9,37947341188111e-08;1,07810039217024e-09;0;1;0;"9.38E-08";"mod t-test"
"movement of cell or subcellular component";1950;365;613;1000;"GO:0006928";18479342;79375;18399967;189472;3589;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"nephron development";137;35;66;86;"GO:0072006";18479342;79375;18399967;7126;503;0;0;0;0;1;0;"<1.11E-16";"mod t-test"
"nephron epithelium development";106;26;49;64;"GO:0072009";18479342;79375;18399967;593;41;3,15067355321223e-35;1,55328206173363e-32;2,82414920315205e-34;0;1;0;"<1.11E-16";"mod t-test"
"nephron morphogenesis";75;20;37;47;"GO:0072028";18479342;79375;18399967;1231;101;1,33689497950896e-91;6,59089224897919e-89;1,78132222945384e-90;0;1;0;"<1.11E-16";"mod t-test"
