"";"x"
"ENSG00000004866";1
"ENSG00000011454";0,08
"ENSG00000086205";0,03
"ENSG00000104064";1
"ENSG00000111850";1
"ENSG00000127603";0,91
"ENSG00000129965";0
"ENSG00000130035";0,07
"ENSG00000137871";1
"ENSG00000138641";0
"ENSG00000143226";0
"ENSG00000157326";0
"ENSG00000163945";1
"ENSG00000169621";0
"ENSG00000213077";1
"ENSG00000223802";1
"ENSG00000225830";0,01
"ENSG00000178605";1
"ENSG00000172771";1
"ENSG00000121410";1
"ENSG00000148584";1
"ENSG00000134864";0
"ENSG00000175899";1
"ENSG00000128274";0
"ENSG00000118017";0
"ENSG00000094914";1
"ENSG00000081760";0
"ENSG00000109576";0,02
"ENSG00000103591";0
"ENSG00000115977";0
"ENSG00000127837";1
"ENSG00000266967";0
"ENSG00000090861";1
"ENSG00000149313";1
"ENSG00000157426";0
"ENSG00000008311";0
"ENSG00000275700";0
"ENSG00000181409";0
"ENSG00000183044";0
"ENSG00000154263";1
"ENSG00000144452";0
"ENSG00000165029";0
"ENSG00000107331";1
"ENSG00000167972";0
"ENSG00000198691";0
"ENSG00000154265";0,29
"ENSG00000154262";0
"ENSG00000064687";1
"ENSG00000141338";0
"ENSG00000154258";0
"ENSG00000135776";0,09
"ENSG00000085563";0
"ENSG00000005471";0
"ENSG00000115657";0
"ENSG00000131269";1
"ENSG00000197150";0,02
"ENSG00000150967";1
"ENSG00000124574";1
"ENSG00000121270";1
"ENSG00000103222";0
"ENSG00000023839";0,04
"ENSG00000108846";0
"ENSG00000125257";1
"ENSG00000114770";0
"ENSG00000273808";1
"ENSG00000091262";1
"ENSG00000069431";1
"ENSG00000101986";0
"ENSG00000173208";0
"ENSG00000117528";0
"ENSG00000119688";1
"ENSG00000164163";1
"ENSG00000204574";0
"ENSG00000033050";1
"ENSG00000161204";1
"ENSG00000160179";0
"ENSG00000118777";0,55
"ENSG00000172350";1
"ENSG00000138075";1
"ENSG00000144827";0
"ENSG00000106077";1
"ENSG00000100997";1
"ENSG00000139826";0,73
"ENSG00000248487";0
"ENSG00000114779";0
"ENSG00000168792";1
"ENSG00000143994";1
"ENSG00000140526";0,02
"ENSG00000158201";0
"ENSG00000100439";0
"ENSG00000011198";0
"ENSG00000163686";1
"ENSG00000127220";1
"ENSG00000136754";1
"ENSG00000138443";0
"ENSG00000154175";1
"ENSG00000108798";0
"ENSG00000097007";1
"ENSG00000143322";0
"ENSG00000099204";0
"ENSG00000163995";1
"ENSG00000173210";0
"ENSG00000175164";0
"ENSG00000002726";1
"ENSG00000159842";1
"ENSG00000146109";0
"ENSG00000114626";1
"ENSG00000166016";0
"ENSG00000060971";0
"ENSG00000167315";1
"ENSG00000278540";0
"ENSG00000076555";0
"ENSG00000111271";0
"ENSG00000240303";0
"ENSG00000151498";0
"ENSG00000177646";1
"ENSG00000115361";1
"ENSG00000117054";0
"ENSG00000196177";0
"ENSG00000122971";1
"ENSG00000072778";1
"ENSG00000157766";0
"ENSG00000072818";0
"ENSG00000114331";1
"ENSG00000131584";1
"ENSG00000075239";0
"ENSG00000120437";0
"ENSG00000182827";1
"ENSG00000181513";1
"ENSG00000107897";0
"ENSG00000230124";0
"ENSG00000176244";0
"ENSG00000108684";0
"ENSG00000110881";0
"ENSG00000213199";1
"ENSG00000110455";0
"ENSG00000102977";0
"ENSG00000130234";1
"ENSG00000177076";1
"ENSG00000078124";1
"ENSG00000159640";0
"ENSG00000087085";1
"ENSG00000100813";1
"ENSG00000131473";0
"ENSG00000153086";1
"ENSG00000196636";0
"ENSG00000122729";0
"ENSG00000100412";0,15
"ENSG00000162390";0
"ENSG00000112304";1
"ENSG00000184227";0
"ENSG00000119673";0
"ENSG00000177465";1
"ENSG00000205669";1
"ENSG00000097021";1
"ENSG00000101473";0,05
"ENSG00000123130";1
"ENSG00000161533";0
"ENSG00000168306";0
"ENSG00000087008";1
"ENSG00000143727";1
"ENSG00000134575";1
"ENSG00000102575";1
"ENSG00000162836";0
"ENSG00000155893";1
"ENSG00000014257";0
"ENSG00000111644";0
"ENSG00000147174";0
"ENSG00000100312";0,7
"ENSG00000103740";1
"ENSG00000167107";0
"ENSG00000176715";0,11
"ENSG00000151726";0
"ENSG00000123983";0
"ENSG00000068366";0
"ENSG00000197142";0,2
"ENSG00000164398";0
"ENSG00000166743";1
"ENSG00000183747";1
"ENSG00000066813";1
"ENSG00000005187";0
"ENSG00000183549";0
"ENSG00000154930";0
"ENSG00000131069";0
"ENSG00000111058";0,02
"ENSG00000107796";0,08
"ENSG00000075624";1
"ENSG00000159251";1
"ENSG00000184009";0
"ENSG00000163017";0
"ENSG00000136518";1
"ENSG00000072110";0
"ENSG00000077522";1
"ENSG00000130402";0
"ENSG00000131966";0
"ENSG00000138107";1
"ENSG00000115073";1
"ENSG00000138071";1
"ENSG00000133627";0
"ENSG00000106526";1
"ENSG00000115091";0
"ENSG00000101442";0
"ENSG00000075089";1
"ENSG00000113812";0
"ENSG00000135503";0
"ENSG00000123612";0
"ENSG00000115170";1
"ENSG00000121989";0
"ENSG00000114739";0
"ENSG00000139567";0
"ENSG00000243989";0
"ENSG00000132744";1
"ENSG00000119640";1
"ENSG00000170634";1
"ENSG00000168803";0
"ENSG00000137845";1
"ENSG00000073670";0
"ENSG00000148848";0
"ENSG00000143537";0,05
"ENSG00000151694";0
"ENSG00000135074";0
"ENSG00000139985";0,15
"ENSG00000008277";1
"ENSG00000114948";0
"ENSG00000042980";0
"ENSG00000151651";0
"ENSG00000168615";0
"ENSG00000142303";0
"ENSG00000151388";0,31
"ENSG00000160323";0
"ENSG00000145536";0
"ENSG00000140470";1
"ENSG00000140873";1
"ENSG00000154734";1
"ENSG00000087116";0
"ENSG00000156140";1
"ENSG00000158859";0
"ENSG00000154736";0
"ENSG00000049192";0,09
"ENSG00000136378";0
"ENSG00000134917";0
"ENSG00000163638";1
"ENSG00000178031";0
"ENSG00000197859";0
"ENSG00000156218";1
"ENSG00000143382";0
"ENSG00000185761";1
"ENSG00000105963";0
"ENSG00000184060";0
"ENSG00000197381";1
"ENSG00000160710";1
"ENSG00000065457";0
"ENSG00000189007";1
"ENSG00000213638";1
"ENSG00000196839";0
"ENSG00000063761";0
"ENSG00000133597";0
"ENSG00000123815";0
"ENSG00000173137";1
"ENSG00000164742";0
"ENSG00000078295";0
"ENSG00000138031";0
"ENSG00000129467";1
"ENSG00000173175";1
"ENSG00000174233";0
"ENSG00000121281";0
"ENSG00000162104";1
"ENSG00000141433";1
"ENSG00000142920";0
"ENSG00000087274";1
"ENSG00000075340";0
"ENSG00000148700";0
"ENSG00000196616";0
"ENSG00000248144";0
"ENSG00000197894";0
"ENSG00000172955";1
"ENSG00000147576";0
"ENSG00000182551";0
"ENSG00000159346";1
"ENSG00000006831";1
"ENSG00000156110";0
"ENSG00000128165";0
"ENSG00000148926";0
"ENSG00000101544";0
"ENSG00000101126";1
"ENSG00000163485";1
"ENSG00000128271";0
"ENSG00000170425";0
"ENSG00000181915";0,53
"ENSG00000159322";0
"ENSG00000153531";0
"ENSG00000116863";0
"ENSG00000144843";0
"ENSG00000120907";1
"ENSG00000170214";0
"ENSG00000150594";0,09
"ENSG00000274286";1
"ENSG00000184160";0
"ENSG00000043591";0
"ENSG00000169252";1
